  Iteration:          H(SA):         error:
         322       -0.048053       0.0198764
         323       -0.089208       0.0190902
         324         1.31617       0.0573005
         325       -0.251075      0.00469115
         326       -0.047327      0.00767465
         327       -0.305102      0.00783467
         328        0.162549       0.0104031
         329      -0.0226039      0.00949884
         330         1.08438       0.0208554
         331        0.323181       0.0122837
         332           2.582       0.0587939
         333       0.0115946      0.00640946
         334        0.359996       0.0137493
         335         113.741         3.18286
         336         29.8834         1.08019
         337        0.259461       0.0115536
         338        0.251314       0.0141462
         339       -0.313126      0.00407471
         340      -0.0256453      0.00761458
         341       -0.395018       0.0050869
         342         0.71679       0.0267448
         343        0.413299       0.0270618
         344        0.194849       0.0233604
         345       -0.251019        0.007933
         346       0.0121195      0.00798075
         347        0.463942       0.0355255
         348      -0.0558806        0.018219
         349       -0.250328      0.00667967
         350       -0.404165       0.0029148
         351         1.33119        0.038255
         352       -0.236482      0.00966943
         353       -0.361958      0.00419404
         354       -0.348465      0.00552861
         355         1.33034        0.053483
         356       -0.431448       0.0022839
         357         2.01717       0.0505046
         358       -0.244499      0.00914618
         359        -0.26884      0.00886803
         360       -0.115174        0.019984
         361       -0.384026      0.00505074
         362       0.0425798        0.014224
         363      -0.0618576       0.0177561
         364       -0.244949       0.0098754
         365       -0.211631      0.00687941
         366       -0.163132       0.0110234
         367       -0.240466      0.00933468
         368        0.107813       0.0290277
         369         1.50678       0.0611863
         370        0.618247         0.04363
         371       -0.240298      0.00802283
         372      -0.0599755      0.00766247
         373        0.288793       0.0333066
         374        0.083938       0.0364853
         375        0.269633       0.0273805
         376        0.779962        0.042528
         377      -0.0800462       0.0196134
         378      -0.0563875       0.0183207
         379       -0.163838       0.0133096
         380       -0.146344       0.0144942
         381        -0.23916      0.00858147
         382       -0.255918      0.00761972
         383       -0.197036      0.00708255
         384       -0.144736      0.00774701
         385        0.228216       0.0108598
         386       -0.237095      0.00876638
         387        -0.21225       0.0116217
         388        0.244215       0.0299792
         389       -0.250787      0.00718445
         390       -0.134874      0.00697222
         391       -0.221484      0.00847253
         392       -0.188559        0.006613
         393       -0.231127      0.00945566
         394       -0.173053      0.00673346
         395        -0.21347       0.0100997
         396       -0.113761        0.016494
         397      -0.0965901       0.0152565
         398        0.053642       0.0210292
         399       0.0680647       0.0315394
         400       -0.188556        0.013235
         401       -0.147851        0.014747
         402       -0.181179       0.0125479
         403         0.14256       0.0277838
         404       -0.250544      0.00780258
         405       -0.181387       0.0153646
         406       -0.187186       0.0115931
         407        -0.25671      0.00793094
         408       -0.204883      0.00666786
         409       -0.255587      0.00710962
         410       -0.245442       0.0072156
         411       -0.231277      0.00664172
         412       -0.247885      0.00928625
         413        -0.12193       0.0190879
         414       -0.172042       0.0118955
         415      -0.0566555       0.0181839
         416       -0.182539       0.0122338
         417       -0.133572         0.01548
         418       -0.154262       0.0132332
         419       -0.229789      0.00851307
         420       -0.244743      0.00894352
         421       -0.243775      0.00888126
         422       -0.218799      0.00994942
         423       -0.148641       0.0143322
         424       -0.216049       0.0121885
         425       -0.239743       0.0109415
         426       -0.220162       0.0107089
         427       -0.244451       0.0102367
         428       -0.245414      0.00594744
         429       -0.226299      0.00598971
         430       -0.243817      0.00562473
         431       -0.236004      0.00646774
         432       -0.245569      0.00733989
         433       -0.233897      0.00647732
         434       -0.255573      0.00802737
         435       -0.240154      0.00671949
         436       -0.249377      0.00704733
         437       -0.249785      0.00701121
         438       -0.244009      0.00684663
         439       -0.256108      0.00761309
         440       -0.248081      0.00743409
         441       -0.257495      0.00663628
         442       -0.257867      0.00644036
         443       -0.246347      0.00758918
         444       -0.260557      0.00641735
         445       -0.261995      0.00718086
         446       -0.251358      0.00748596
         447       -0.252159      0.00733475
