             mu:           sigma        energy:
       -0.903452        0.512659       -0.279082
       -0.897698        0.514896       -0.284983
       -0.903966        0.538199       -0.342728
       -0.909532        0.550048       -0.342126
        -0.89371        0.570244        -0.39395
       -0.889591        0.547101       -0.364837
       -0.878234        0.532072       -0.355779
       -0.878234        0.532072       -0.341732
       -0.884592        0.532576       -0.338175
       -0.882584        0.535937       -0.352419
       -0.876733        0.548368        -0.37251
       -0.864675        0.559354       -0.395172
       -0.877626        0.566737       -0.396827
       -0.862284        0.584549        -0.42579
       -0.862284        0.584549       -0.420974
       -0.851156        0.600985       -0.437459
       -0.839171        0.619912       -0.435814
       -0.846532        0.611992       -0.441068
       -0.846848        0.608445       -0.439904
       -0.846848        0.608445       -0.432144
       -0.843327        0.620155       -0.435912
       -0.853833         0.61159       -0.435713
       -0.839385         0.62375       -0.443607
       -0.838608        0.609293       -0.440366
       -0.832726        0.600253       -0.438615
       -0.818071        0.593641       -0.440638
       -0.818071        0.593641       -0.434547
       -0.825991        0.607382       -0.442675
       -0.825528        0.618374       -0.439487
       -0.817427        0.617414       -0.443004
       -0.819048        0.610458       -0.442005
       -0.818008        0.620392       -0.445994
       -0.815655        0.618192       -0.442991
       -0.820424        0.612677       -0.444516
       -0.812258        0.601985        -0.43855
       -0.805333        0.596714       -0.445322
       -0.805333        0.596714       -0.440584
       -0.808822        0.587339       -0.437266
       -0.809387        0.584405       -0.438124
       -0.809387        0.584405        -0.43317
       -0.811878        0.583713       -0.435214
       -0.811878        0.583713       -0.431195
       -0.810679        0.576581       -0.430493
       -0.806802        0.576554       -0.431693
       -0.808348        0.582804       -0.434039
       -0.815428        0.581754       -0.431975
       -0.817599        0.586879       -0.431728
       -0.822934        0.580167       -0.435333
       -0.821416        0.584032       -0.438237
       -0.821416        0.584032       -0.434535
       -0.815063        0.586968       -0.441578
       -0.808973        0.590534       -0.441655
       -0.810116        0.596936       -0.446671
       -0.810302        0.602357       -0.443804
       -0.810302        0.602357       -0.441939
       -0.810685        0.603188       -0.444593
       -0.810685        0.603188       -0.441887
       -0.810685        0.603188       -0.439307
       -0.808434        0.600732       -0.439385
        -0.80888        0.601081       -0.440738
        -0.81137        0.600335       -0.440761
       -0.815854        0.597763       -0.432791
       -0.815099        0.602259       -0.440884
       -0.815099        0.602259       -0.438354
       -0.814966         0.60647       -0.440018
       -0.811822        0.605794        -0.44243
       -0.810749         0.60355       -0.439535
       -0.810956        0.606543       -0.444064
       -0.813828         0.60907       -0.444751
       -0.813828         0.60907       -0.440089
       -0.817044        0.612566       -0.443442
       -0.817238        0.610571       -0.443634
       -0.817238        0.610571        -0.44129
       -0.814614        0.609235       -0.444302
       -0.814614        0.609235        -0.43759
       -0.814529        0.611012       -0.441345
       -0.814529        0.611012       -0.439069
       -0.815679        0.613836       -0.442999
       -0.816708         0.61309         -0.4425
       -0.815813        0.612536       -0.445148
       -0.815813        0.612536       -0.441734
       -0.816277        0.610598       -0.446801
       -0.816277        0.610598       -0.439802
       -0.815989        0.609248       -0.444609
       -0.816025        0.608834       -0.444108
       -0.816378        0.610039       -0.440111
       -0.815739        0.611364       -0.441742
       -0.817026        0.609424       -0.443739
       -0.816504        0.609082       -0.446163
       -0.816504        0.609082       -0.442815
         -0.8178        0.608888       -0.441514
       -0.816476        0.609042       -0.444947
       -0.816476        0.609042       -0.441406
       -0.816476        0.609042       -0.438172
       -0.816536        0.609374       -0.445112
       -0.816536        0.609374       -0.443929
       -0.816536        0.609374       -0.440511
       -0.816924        0.610128       -0.440726
       -0.818213        0.609121       -0.444777
       -0.818213        0.609121       -0.441785
       -0.817092        0.608073       -0.443498
