Gen:	<L_2>
1000	70.3815
1001	70.5449
1002	70.1663
1003	70.2805
1004	70.1528
1005	70.177
1006	70.1608
1007	70.2688
1008	70.2407
1009	70.1826
1010	70.4045
1011	70.4204
1012	70.4083
1013	70.307
1014	70.287
1015	70.2001
1016	69.8353
1017	70.264
1018	70.082
1019	70.0371
1020	70.1622
1021	70.0743
1022	69.7909
1023	70.1025
1024	70.4003
1025	70.0466
1026	69.9162
1027	70.0058
1028	70.0444
1029	70.0509
1030	70.2327
1031	70.1754
1032	69.7678
1033	70.1549
1034	70.2298
1035	70.172
1036	70.2064
1037	70.3484
1038	70.1377
1039	69.9711
1040	69.985
1041	70.0388
1042	70.0756
1043	70.5241
1044	70.2162
1045	69.8961
1046	69.8234
1047	69.9518
1048	70.0399
1049	70.2373
1050	70.0603
1051	69.9603
1052	69.926
1053	70.1024
1054	70.2905
1055	69.9451
1056	70.1218
1057	70.0631
1058	70.1258
1059	70.2156
1060	70.4417
1061	70.019
1062	70.16
1063	70.4763
1064	70.0052
1065	70.0694
1066	70.0987
1067	70.1544
1068	69.9114
1069	70.2354
1070	70.2746
1071	69.9598
1072	70.0911
1073	70.0577
1074	70.1137
1075	70.3354
1076	69.9756
1077	70.2075
1078	69.9293
1079	69.9828
1080	70.2307
1081	70.1353
1082	70.1009
1083	70.1133
1084	69.9552
1085	69.8732
1086	70.1779
1087	70.2551
1088	70.4693
1089	70.085
1090	70.0283
1091	70.0001
1092	69.9472
1093	70.201
1094	70.2166
1095	70.1854
1096	69.8721
1097	69.9944
1098	69.9149
1099	69.9192
1100	70.189
1101	69.9571
1102	70.0305
1103	70.2348
1104	69.9836
1105	70.2195
1106	70.0891
1107	70.1738
1108	69.9838
1109	69.8995
1110	70.0858
1111	70.0988
1112	70.2255
1113	70.27
1114	69.9921
1115	70.0443
1116	69.8771
1117	70.0931
1118	70.1156
1119	70.1167
1120	70.3315
1121	70.2806
1122	69.7259
1123	70.0113
1124	69.9082
1125	70.0147
1126	70.2902
1127	69.9531
1128	69.837
1129	69.9955
1130	69.8701
1131	69.9977
1132	69.9973
