Gen:	L_2
314	70.8114
315	70.8114
316	70.8114
317	70.8114
318	70.8114
319	70.8114
320	70.8114
321	70.8114
322	70.8114
323	70.8114
324	70.8114
325	70.8114
326	70.8114
327	70.8114
328	70.8114
329	70.8114
330	70.8114
331	70.8114
332	70.8114
333	70.8114
334	70.8114
335	70.8114
336	70.8114
337	70.8114
338	70.8114
339	70.8114
340	70.8114
341	70.8114
342	70.8114
343	70.8114
344	70.8114
345	70.7753
346	70.7753
347	70.7753
348	70.7753
349	70.7753
350	70.7753
351	70.7753
352	70.7753
353	70.7753
354	70.7753
355	70.7753
356	70.7753
357	70.7753
358	70.7753
359	70.7753
360	70.7753
361	70.7753
362	70.7753
363	70.7753
364	70.7753
365	70.7753
366	70.7753
367	70.7753
368	70.7753
369	70.7753
370	70.7753
371	70.7753
372	70.7753
373	70.7753
374	70.7753
375	70.7753
376	70.7753
377	70.7753
378	70.7753
379	70.7753
380	70.7753
381	70.7753
382	70.7753
383	70.7753
384	70.7753
385	70.7753
386	70.7753
387	70.7753
388	70.7753
389	70.7753
390	70.7753
391	70.7753
392	70.7753
393	70.7753
394	70.7753
395	70.7753
396	70.7753
397	70.7753
398	70.7753
399	70.7753
400	70.7753
401	70.7753
402	70.7753
403	70.7753
404	70.7753
405	70.7753
406	70.7753
407	70.7753
408	70.7753
409	70.7753
410	70.7753
411	70.7753
412	70.7753
413	70.7753
414	70.7753
415	70.7753
416	70.7753
417	70.7753
418	70.7753
419	70.7753
420	70.7753
421	70.7753
422	70.7753
423	70.7753
424	70.7753
425	70.7753
426	70.7753
427	70.7753
428	70.7753
429	70.7753
430	70.7753
431	70.7753
432	70.7753
433	70.7753
434	70.7753
435	70.7753
436	70.7753
437	70.7753
438	70.7753
439	70.7753
440	70.7753
441	70.7753
442	70.7753
443	70.7753
444	70.7753
445	70.7753
446	70.7753
447	70.7753
448	70.7753
449	70.7753
450	70.7753
451	70.7753
452	70.7753
453	70.7753
454	70.7753
455	70.7753
456	70.7753
457	70.7753
458	70.7753
459	70.7753
460	70.7753
461	70.7753
462	70.7753
463	70.7753
464	70.7753
465	70.7753
466	70.7753
467	70.7753
468	70.7753
469	70.7753
470	70.7753
471	70.7753
472	70.7753
473	70.7753
474	70.7753
475	70.7753
476	70.7753
477	70.7753
478	70.7753
479	70.7753
480	70.7753
481	70.7753
482	70.7753
483	70.7753
484	70.7753
485	70.7753
486	70.7753
487	70.7753
488	70.7753
489	70.7753
490	70.7753
491	70.3803
492	70.3803
493	70.3803
494	70.3803
495	70.3803
496	70.3803
497	70.3803
498	70.3803
499	70.3803
500	70.3803
501	70.3803
502	70.3803
503	70.3803
504	70.3803
505	70.3803
506	70.3803
507	70.3803
508	70.3803
509	70.3803
510	70.3803
511	70.3803
512	70.3803
513	70.3803
514	70.3803
515	70.3803
516	70.3803
517	70.3803
518	70.3803
519	70.3803
520	70.3803
521	70.3803
522	70.3222
523	70.3222
524	70.3222
525	70.3222
526	70.3222
527	70.3222
528	70.3222
529	70.3222
530	70.3222
531	70.3222
532	70.3222
533	70.3222
534	70.3222
535	70.3222
536	70.3222
537	70.3222
538	70.3222
539	70.3222
540	70.3222
541	70.3222
542	70.3222
543	70.3222
544	70.3222
545	70.3222
546	70.3222
547	70.3222
548	70.3222
549	70.3222
550	70.3222
551	70.3222
552	70.3222
553	70.3222
554	70.3222
555	70.3222
556	70.3222
557	70.3222
558	70.3222
559	70.3222
560	70.3222
561	70.3222
562	70.3222
563	70.3222
564	70.3222
565	70.3222
566	70.3222
567	70.3222
568	70.3222
569	70.3222
570	70.3222
571	70.3222
572	70.3222
573	70.3222
574	70.3222
575	70.3222
576	70.3222
577	70.3222
578	70.3222
579	70.3222
580	70.3222
581	70.3222
582	70.3222
583	70.3222
584	70.3222
585	70.3222
586	70.3222
587	70.3222
588	70.3222
589	70.3222
590	70.3222
591	70.3222
592	70.3222
593	70.3222
594	70.3222
595	70.3222
596	70.3222
597	70.3222
598	70.3222
599	70.3222
600	70.3222
601	70.3222
602	70.3222
603	70.3222
604	70.3222
605	70.3222
606	70.3222
607	70.3222
608	70.3222
609	70.3222
610	70.3222
611	70.3222
612	70.3222
613	70.3222
614	70.3222
615	70.3222
616	70.3222
617	70.3222
618	70.3222
619	70.3222
620	70.3222
621	70.3222
622	70.3222
623	70.3222
624	70.3222
625	70.3222
626	70.3222
627	70.3222
628	70.3222
629	70.3222
630	70.3222
631	70.3222
632	70.3222
633	70.3222
634	70.3222
635	70.3222
636	70.3222
637	70.3222
638	70.3222
639	70.3222
640	70.3222
641	70.3222
642	70.3222
643	70.3222
644	70.3222
645	70.3222
646	70.3222
647	70.3222
648	70.3222
649	70.3222
650	70.3222
651	70.3222
652	70.3222
653	70.3222
654	70.3222
655	70.3222
656	70.3222
657	70.3222
658	70.3222
659	70.3222
660	70.3222
