x	y	z
18.4513	-2.31494	15.172
12.7326	4.67018	-3.47413
-2.64374	-1.48364	7.40334
-9.75986	-5.50629	-4.29255
-1.88156	-0.677202	-0.033487
2.17513	12.1558	13.096
0.783392	-0.342044	-3.9076
-0.926211	-1.50452	-3.58867
1.0894	-2.16533	5.48859
0.166263	-0.0996537	-1.99058
0.0423717	0.0258559	1.99938
3.66815	1.50533	0.527866
-6.3609	7.69849	-0.5217
-1.87876	7.61507	1.57513
3.949	0.320038	4.50588
0.278636	0.166909	3.98679
-1.143	-0.688609	13.9363
0	-0	0
-2.10386	0.700861	-9.75103
1.03563	-0.652579	1.58165
-0	0	0
-2.95151	-6.27584	3.98779
2.02163	-12.0712	-6.79695
-0.608269	0.0809203	-1.90354
-9.4291	-3.11391	1.18135
0.281776	0.296301	1.95776
-5.49363	8.46898	-6.48817
-1.10016	0.713792	7.89178
0.137478	0.571019	23.9928
-10.4586	16.6449	3.68289
-3.77088	-9.99236	-5.47113
0.193643	0.0146157	-3.99528
9.46649	10.2509	-1.14248
-5.52179	2.3361	5.29646
0.676621	2.7211	5.30451
0.750193	0.175768	-5.95032
0	-0	-0
-4.59756	6.53452	-0.403203
-1.47121	-1.29034	0.413004
0.73718	3.65724	-1.44262
1.95443	0.100651	-0.412418
-7.05322	5.2115	-8.191
0	-0	-0
0.158044	-3.761	-7.05903
-0.825068	-0.429937	5.92743
0.0982753	0.0437412	3.99855
0	0	0
-0.361625	0.917462	-13.9652
-3.84133	-15.1001	3.63762
-0.425503	-8.25554	-5.62717
-3.58199	3.00959	-3.75656
7.75763	6.53787	-6.40901
-4.26378	-1.43437	-13.2576
-7.61129	10.3642	-5.53636
5.91417	1.01035	-0.0419332
-0.763463	1.84536	0.108535
0.237025	0.298825	1.96329
0.089612	0.231301	-13.9978
1.08629	2.42961	2.98613
-4.83077	-6.3442	-0.643993
0.141961	0.483602	-7.98411
2.01934	-3.698	9.06902
-0.817491	0.597995	7.93562
20.8846	3.09293	-6.18611
-12.8437	-5.25582	-1.84809
-0	0	0
2.83678	-0.677039	7.44945
3.40516	4.76219	-5.45219
-21.0172	5.26135	-14.3734
-0.0593542	0.915436	1.7772
-0	-0	-0
0.00571455	-0.0240171	-3.99992
-7.28875	0.525785	3.2554
2.80957	0.686475	19.7898
7.40082	-7.34499	9.34232
-0.41946	-2.30483	-5.52375
-1.3699	2.56958	7.45122
-3.08877	0.967747	2.3501
-0.657364	0.690411	1.75818
3.39261	2.23657	4.41452
-4.31447	-2.27594	15.2383
-0.212551	-1.24872	-3.79414
2.5576	-0.877987	2.94751
1.65121	2.00873	-21.8458
2.04674	-2.63225	2.20955
-0.251575	5.82702	5.47563
0.130786	3.26846	5.02992
0	-0	-0
6.27557	-3.34978	-7.02824
-0.809503	1.55771	-5.73744
-2.33975	11.193	8.07726
-0	-0	0
-21.1517	-5.63329	-2.20718
-0.0597026	-0.0698761	-1.99789
-3.36012	-9.41858	0.00331302
1.35549	-2.39945	7.51034
-0.304157	0.753752	3.91655
4.38587	4.12323	27.3453
-0	0	-0
3.2994	3.78308	-3.28668
-4.13179	-9.78564	-5.58297
0.439366	-1.4261	1.33161
1.56917	2.26443	5.33011
5.30988	-10.76	0.163055
-3.52205	1.74552	-0.740486
-0.518754	-0.320684	7.97672
-9.21655	-10.5353	-0.249118
5.28591	6.67712	26.6735
-0.200956	-0.489987	1.92861
6.86548	-5.81723	13.2297
-1.10901	-9.89718	-12.5226
6.88379	-4.53437	5.66152
-4.6495	0.28748	-8.8487
-4.27657	16.9416	-4.32365
-3.12525	8.50559	4.22939
-2.36754	2.54636	-1.97758
1.28061	-5.74451	-10.4576
-0	0	-0
0.122235	2.88628	-5.25875
-0.738378	0.179949	-3.92714
-4.69536	6.36408	-1.20501
-2.85731	10.2906	-9.05209
-0.312866	0.706352	9.97011
5.92243	-0.735203	0.619959
0.0164064	0.434182	1.95223
1.48045	-0.843035	1.04764
0.958718	-0.68583	3.82237
-3.55871	7.95075	-10.96
15.8478	2.41004	8.18778
-0	-0	0
0	0	-0
5.76062	-7.77821	-2.51291
-7.3414	0.282137	-16.4324
-1.62993	-7.74416	-1.17104
-1.62445	-9.85752	0.43651
4.81516	3.25248	-1.49521
-3.69693	-6.5414	-9.35643
-0.275961	-0.327574	9.99082
2.7585	5.9598	7.54131
1.74174	4.32014	3.7819
-1.13853	-3.75955	-4.53537
-0.10308	-0.0474828	-1.99678
-0	-0	0
6.18599	-6.71821	4.0742
13.4523	1.19539	3.6886
-7.09096	-3.27606	1.72793
1.98536	-0.123147	0.207772
-1.91296	0.291642	3.50079
0	-0	-0
-1.17879	1.0361	-1.23974
0.404415	2.60503	3.00837
8.8401	11.2261	10.9466
-1.29841	-13.8929	11.3711
1.23206	-1.91971	3.28584
-6.25759	5.77247	5.24606
-0.123909	-1.46229	3.72107
2.16227	-0.522592	-3.32438
-0.752709	-5.66097	-14.9461
-2.53474	8.08558	-5.31023
-6.36905	-9.68771	-3.09572
0	-0	0
7.27434	2.851	-1.71923
-0.543002	0.120991	-1.92107
4.53657	4.36391	4.93718
-3.77988	0.250331	-4.65294
5.10805	0.280368	-3.13516
5.5296	-0.238278	-8.32867
1.71299	-0.0228139	-1.03205
-1.38698	-0.490339	5.81686
-10.6166	5.32344	-1.7169
-0.937301	-2.26757	-5.47536
-1.26125	2.8986	5.09974
3.67045	12.6625	4.71048
-0.0189525	-0.938844	3.88821
-1.33275	-3.47978	-4.70265
3.1568	0.948867	-2.26589
-2.51886	10.2354	9.21368
1.96932	3.32981	-1.01694
-1.7124	-3.72243	4.38306
0.193952	-3.75177	1.37355
