Gen:	L_2
693	70.6151
694	70.6151
695	70.6151
696	70.6151
697	70.6151
698	70.6151
699	70.6151
700	70.6151
701	70.6151
702	70.6151
703	70.6151
704	70.6151
705	70.6151
706	70.6151
707	70.6151
708	70.6151
709	70.6151
710	70.6151
711	70.6151
712	70.6151
713	70.6151
714	70.6151
715	70.6151
716	70.6151
717	70.6151
718	70.6151
719	70.6151
720	70.6151
721	70.6151
722	70.6151
723	70.6151
724	70.6151
725	70.6151
726	70.6151
727	70.6151
728	70.6151
729	70.6151
730	70.6151
731	70.6151
732	70.6151
733	70.6151
734	70.6151
735	70.6151
736	70.6151
737	70.6151
738	70.6151
739	70.6151
740	70.6151
741	70.6151
742	70.6151
743	70.6151
744	70.6151
745	70.6151
746	70.6151
747	70.6151
748	70.6151
749	70.6151
750	70.6151
751	70.6151
752	70.6151
753	70.6151
754	70.6151
755	70.6151
756	70.6151
757	70.6151
758	70.6151
759	70.6151
760	70.6151
761	70.6151
762	70.6151
763	70.6151
764	70.6151
765	70.6151
766	70.6151
767	70.6151
768	70.6151
769	70.6151
770	70.6151
771	70.6151
772	70.6151
773	70.6151
774	70.6151
775	70.6151
776	70.6151
777	70.6151
778	70.6151
779	70.6151
780	70.6151
781	70.6151
782	70.6151
783	70.6151
784	70.5548
785	70.5548
786	70.5548
787	70.5548
788	70.5548
789	70.5548
790	70.5548
791	70.5548
792	70.5548
793	70.5548
794	70.5548
795	70.5548
796	70.5548
797	70.5548
798	70.5548
799	70.5548
800	70.5548
801	70.5548
802	70.5548
803	70.5548
804	70.5548
805	70.5548
806	70.5548
807	70.5548
808	70.5548
809	70.5548
810	70.5548
811	70.5548
812	70.5548
813	70.5548
814	70.5548
815	70.5548
816	70.5548
817	70.5548
818	70.5548
819	70.5548
820	70.5548
821	70.5548
822	70.5548
823	70.5548
824	70.5548
825	70.5548
826	70.5548
827	70.5548
828	70.5548
829	70.5548
830	70.5548
831	70.5548
832	70.5548
833	70.5548
834	70.5548
835	70.5548
836	70.5548
837	70.5548
838	70.5548
839	70.5548
840	70.5548
841	70.5548
842	70.5548
843	70.5548
844	70.5548
845	70.5548
846	70.5548
847	70.5548
848	70.5548
849	70.5548
850	70.5548
851	70.5548
852	70.5548
853	70.5548
854	70.5548
855	70.5548
856	70.5548
857	70.5548
858	70.5548
859	70.5548
860	70.5548
861	70.5548
862	70.5548
863	70.5548
864	70.5548
865	70.5548
866	70.5548
867	70.5548
868	70.5548
869	70.5548
870	70.5548
871	70.5548
872	70.5548
873	70.5548
874	70.5548
875	70.5548
876	70.5548
877	70.5548
878	70.5548
879	70.5548
880	70.5548
881	70.5548
882	70.5548
883	70.5548
884	70.5548
885	70.5548
886	70.5548
887	70.5548
888	70.5548
889	70.5548
890	70.5548
891	70.5548
892	70.5548
893	70.5548
894	70.5548
895	70.5548
896	70.5548
897	70.5548
898	70.5548
899	70.5548
900	70.5548
901	70.5548
902	70.5548
903	70.5548
904	70.5548
905	70.5548
906	70.5548
907	70.5548
908	70.5548
909	70.5548
910	70.5548
911	70.5548
912	70.5548
913	70.5548
914	70.5548
915	70.5548
916	70.5548
917	70.5548
918	70.5548
919	70.5548
920	70.5548
921	70.5548
922	70.5548
923	70.5548
924	70.5548
925	70.5548
926	70.5548
927	70.5548
928	70.5548
