Gen:	<L_2>
655	71.3519
656	71.488
657	71.4435
658	71.4149
659	71.3701
660	71.285
661	71.0732
662	71.3059
663	71.4445
664	71.6454
665	71.1842
666	71.4588
667	71.7245
668	71.6399
669	71.3283
670	71.2466
671	71.1927
672	71.5382
673	71.4051
674	71.3942
675	71.4014
676	71.4099
677	71.5758
678	71.296
679	71.2588
680	71.3714
681	71.3296
682	71.1509
683	71.5088
684	71.342
685	71.2366
686	71.1685
687	71.0872
688	71.2961
689	71.1425
690	71.3518
691	71.2039
692	71.3916
693	71.3314
694	71.3059
695	71.3088
696	71.5271
697	71.2283
698	71.2583
699	71.1923
700	71.3376
701	71.1816
702	71.0829
703	71.3534
704	71.4728
705	71.0784
706	71.3353
707	71.1812
708	71.5001
709	71.4828
710	71.1731
711	71.1317
712	71.4155
713	71.0673
714	71.1157
715	71.1302
716	71.1527
717	71.4966
718	71.3396
719	71.3181
720	71.1415
721	71.2206
722	71.1513
723	71.3118
724	70.9868
725	71.112
726	71.2682
727	71.3009
728	71.0716
729	71.2629
730	71.3326
731	71.2081
732	71.2909
733	71.3072
734	71.3658
735	71.5609
736	71.1981
737	71.3979
738	71.2621
739	71.4988
740	71.2562
741	71.4324
742	71.2788
743	71.4924
744	71.2161
745	71.1425
746	71.1526
747	70.9903
748	71.2662
749	71.1547
750	71.5936
751	71.3003
752	71.3449
753	70.9988
754	71.322
755	71.3452
756	71.3229
757	71.4695
758	71.3441
759	71.4649
760	71.3538
761	71.3698
762	71.2504
763	71.4916
764	71.4535
765	71.2224
766	71.5907
767	71.3843
768	71.4008
769	71.5332
770	71.7713
771	71.279
772	71.2047
773	71.2343
774	71.3403
775	71.3363
776	71.2452
777	71.3775
778	71.3133
779	71.3993
780	71.3718
781	71.3062
782	71.197
783	71.2886
784	71.2876
785	71.2473
786	71.4353
787	71.2154
788	71.3993
789	71.0899
790	71.4217
791	71.5878
792	71.287
793	71.2257
794	71.1771
795	71.4673
796	71.6068
797	71.5134
798	71.3813
799	71.4283
800	71.1174
801	71.1944
802	71.0157
803	71.0456
804	71.1437
805	71.1065
806	71.2092
807	71.1383
808	71.2374
809	71.3113
810	71.0023
811	71.0146
812	71.0327
813	71.2902
814	71.4522
815	71.1807
816	71.0125
817	71.0055
818	71.4137
819	71.3405
820	71.2601
821	71.5082
822	71.2906
823	70.9758
824	71.5314
825	71.3554
826	71.3079
827	71.1902
828	71.3653
829	71.2231
830	71.3777
831	71.4897
832	71.1826
833	71.3668
834	71.2001
835	71.0385
836	71.0289
837	71.167
838	70.9901
839	71.4214
840	71.3434
841	71.3925
842	71.2862
843	71.3376
844	71.3243
845	71.4098
846	71.223
847	71.1268
848	71.3208
849	71.423
850	71.2615
851	71.4832
852	71.2726
853	71.1758
854	71.2139
855	71.3105
856	71.3728
857	71.2898
858	71.4025
859	71.3056
860	71.5333
861	71.7964
862	71.4215
863	71.2146
864	71.3394
865	71.161
866	71.4183
867	71.3062
868	71.2301
869	71.1154
870	71.1682
871	71.3178
872	71.3324
873	70.9466
874	71.1962
875	71.1507
876	71.0842
877	71.258
878	71.2691
879	71.0396
880	71.3893
881	70.9849
882	71.2015
883	71.3193
884	71.21
885	71.2796
886	71.4155
887	71.2643
888	71.6427
889	71.3773
890	71.2992
891	71.1435
892	71.344
893	71.2857
894	71.3069
895	71.1898
896	71.2597
897	71.1246
898	71.0478
899	71.389
900	71.1908
901	71.2251
902	71.4664
903	71.7678
904	71.648
905	71.2188
906	71.5904
907	71.1206
908	71.3342
909	71.0671
910	71.4777
911	71.3492
912	71.2731
913	71.1805
914	71.0074
915	71.2398
916	71.2357
917	71.3375
918	71.3162
919	70.9301
920	71.2341
921	70.9428
922	70.9867
923	71.191
924	71.2404
925	71.4471
926	71.3194
927	71.037
928	71.0413
929	71.3387
930	71.1644
931	71.2228
932	71.1823
933	71.3614
934	71.4298
935	71.103
936	71.0544
937	71.4366
938	71.0833
939	71.1246
940	71.0654
941	71.1077
942	71.3414
943	71.313
944	71.4974
945	70.9967
946	71.4646
947	71.2007
948	71.4531
949	71.2206
950	71.2087
951	71.1887
952	71.3743
953	71.6424
954	71.5947
955	71.1925
956	71.2841
957	71.3397
958	71.4821
959	71.372
960	71.2411
961	71.3522
962	71.0964
963	71.2388
964	71.1027
965	71.1225
966	71.2007
967	71.3967
968	71.2589
969	71.4007
970	71.5765
971	71.3707
972	71.4142
973	71.3296
974	71.6321
975	71.7025
976	71.4736
977	71.1939
978	71.0707
979	71.408
980	71.1355
981	71.3554
982	71.1874
983	71.216
984	71.2282
985	71.2674
986	71.1823
987	71.0219
988	71.1471
989	71.0426
990	71.2455
991	71.2561
992	71.0994
993	71.2737
994	70.9981
995	71.0999
996	71.1654
997	71.0501
998	71.4476
999	71.2034
1000	71.4298
1001	71.1081
1002	71.2571
1003	71.106
1004	71.5324
1005	71.3584
1006	71.1904
1007	71.3365
1008	71.0889
1009	71.4339
1010	71.6335
1011	71.5779
1012	71.2905
1013	71.1719
1014	71.1206
1015	71.5466
1016	71.3945
1017	71.1726
1018	70.769
1019	71.1861
1020	71.5682
1021	71.2047
1022	71.2411
1023	71.2882
1024	71.3821
1025	71.276
1026	71.6643
1027	71.4426
1028	71.5132
1029	71.201
1030	71.594
1031	71.3851
1032	71.2066
1033	71.2963
1034	71.3789
1035	71.238
1036	71.7163
1037	71.2793
1038	71.4582
1039	71.4573
1040	71.2646
1041	71.2589
1042	71.3986
1043	71.8577
1044	71.2688
1045	71.3356
1046	71.0169
1047	71.1783
1048	71.3602
1049	70.9987
1050	71.2296
1051	71.3049
1052	71.3082
1053	71.4955
1054	71.3172
1055	71.1284
1056	71.2917
1057	71.167
1058	70.9925
1059	71.1783
1060	71.6102
1061	71.2804
1062	71.3647
1063	71.4872
1064	71.398
1065	71.2235
1066	71.2307
1067	71.4433
1068	71.3805
1069	71.4126
1070	71.3459
1071	71.687
1072	71.0522
1073	71.3976
1074	71.4106
1075	71.1107
1076	71.3436
1077	71.2579
1078	71.3255
1079	71.4296
1080	71.0701
1081	71.1709
1082	71.4698
1083	71.2927
1084	71.278
1085	71.2382
1086	71.1809
1087	71.1462
1088	71.0846
1089	70.9002
1090	70.9497
1091	71.0223
1092	71.336
1093	71.6832
1094	71.7845
1095	71.3356
1096	71.1671
1097	71.2335
1098	71.2795
1099	71.2887
1100	71.1388
1101	71.2112
1102	71.2129
1103	71.177
1104	71.2025
1105	71.3292
1106	71.2875
1107	71.1349
1108	71.2294
1109	71.316
1110	71.3153
1111	71.0665
1112	71.156
1113	71.2008
1114	71.2977
1115	71.104
1116	71.208
1117	71.265
1118	71.2857
1119	71.0727
